names
Savanah
Signe
Suzanne
Sybil
Tabitha
Theda
Thekla
Therese
Trudie
Vella
Vertie
Victorine
Will
Zoa
Adelle
Aileen
Alicia
Almira
Amelie p
Anice
Arizona
Audie
Berdie
Bina
Camille
Carlota
Carra
Cathryn
Claude
Clifford
Cordia
Dicy
Dove
Ednah
Eleonore
Ellar
Ena
Erie
Freida
Fronie
Georgina
Gillie
Golden
Greta
Gwendolyn
Hellen
Henretta
Hildegarde
Hollie
Imo
Indiana
Jessica
Jewell
Jodie
Juana
Judie
Juliana
Juliette
Lanie
Libby
Lockie
Lular
Lurline
Luz
Macie
Manuela
Margaretta
Margarita
Melinda
Melva
Mena
Metta
Nanie
Nena
Netta
Nonie
Novella
Opha
Ottilia
Parlee
Patience
Robert
Roxy
Sidney
Sina
Theodosia
Ura
Vennie
Vicie
Zettie
Alba
Albert
Albertina
Alverda
Alwine
Amma
Andrea
Angelita
Anner
Antonette
Arabella
Atha
Augustine
Beaulah
Becky
Beda
Bena
Beula
Biddie
Billie
Birtha
Caddie
Carl
Carmelita
Celesta
Celestine
Celie
Clemma
Clora
Daisie
Dale
Delma
Dessa
Dosha
Elena
Eleonora
Elia
Eloisa
Emmaline
Eppie
Ernest
Exie
Ferne
Fleta
Florance
Gene
Gina
Gretta
Gustie
Hazle
Ivory
Izora
Joy
Joyce
Junie
Justina
Lillia
Lissie
Loma
Louis
Lu
Lulie
Mabell
Macy
Mary
Anna
Elizabeth
Emma
Margaret
Minnie
Bertha
Florence
Ethel
Bessie
Clara
Ida
Alice
Annie
Grace
Helen
Mabel
Ella
Martha
Sarah
Nellie
Edna
Lillian
Carrie
Laura
Pearl
Rose
Gertrude
Edith
Frances
Cora
Maude
Louise
Eva
Myrtle
Hattie
Jennie
Julia
Mattie
Marie
Lillie
Catherine
Jessie
Lula
Lena
Ada
Elsie
Agnes
Josephine
Fannie
Lucy
Blanche
Mamie
Dora
Hazel
Katherine
Maggie
Alma
Ruth
Mae
Nora
Rosa
May
Stella
Effie
Irene
Nettie
Ellen
Sadie
Sallie
Della
Susie
Daisy
Viola
Lizzie
Nancy
Esther
Flora
Willie
Katie
Lottie
Etta
Mildred
Georgia
Lydia
Maud
Olive
Charlotte
Caroline
Emily
Addie
Jane
Kathryn
Ruby
Beulah
Ollie
Amanda
Pauline
Harriet
Virginia
Theresa
Mollie
Dorothy
Nannie
Lulu
Susan
Kate
Amelia
Henrietta
Eliza
Rebecca
Matilda
Ora
Marion
Belle
Beatrice
Gladys
Leona
Lola
Nina
Estella
Iva
Ann
Hannah
Sara
Anne
Lela
Eleanor
Rachel
Estelle
Augusta
Vera
Goldie
Josie
Barbara
Sophia
Mayme
Maria
Evelyn
Amy
Marguerite
Inez
Essie
Allie
Eula
Hilda
Alta
Betty
Millie
Rosie
Mable
Victoria
Ina
Janie
Delia
Ola
Celia
Callie
Nell
Flossie
Birdie
Eunice
Bertie
Lucille
Winifred
Olga
Rena
Luella
Sophie
Christine
Leila
Bettie
Lou
Sylvia
Verna
Bess
Bernice
Loretta
Frieda
Genevieve
Tillie
Isabelle
Louisa
Alberta
Jean
Violet
Isabel
Winnie
Sally
Selma
Abbie
Roxie
Myra
Dollie
Mathilda
Rhoda
Adeline
Elva
Lelia
Hulda
Jeanette
Lilly
Carolyn
Hettie
Irma
Lois
Gussie
Harriett
Johanna
Leah
Marjorie
Sue
Adele
Cornelia
Christina
Cecelia
Hester
Virgie
Teresa
Zella
Geneva
Jeannette
Katharine
Lora
Lenora
Nelle
Mina
Helena
Lily
Norma
Frankie
Meta
Adelaide
Cecilia
Elma
Lucinda
Freda
Linnie
Lucile
Hallie
Naomi
Marian
Regina
Gertie
Lura
Lettie
Francis
Lila
Wilhelmina
Elsa
Mittie
Lida
Erma
Elnora
Cassie
Cecile
Claudia
Ophelia
Madeline
Minerva
Dessie
Fern
Juanita
Linda
Madge
Vivian
Fanny
Lorena
Roberta
Claire
Malinda
Pearlie
Ivy
Leola
Myrtie
Olivia
Alvina
Bonnie
Eugenia
Corinne
Lessie
Margie
Nona
Janet
Maudie
Kathleen
Velma
Antoinette
Belva
Catharine
Emilie
Gracie
Oma
Phoebe
Fay
Miriam
Cleo
Dovie
Isabella
Letha
Neva
Rosalie
Blanch
Chloe
Lee
Mabelle
Rosetta
Orpha
Polly
Anita
Dolly
Elvira
Veronica
Cynthia
Mandy
Ona
Angeline
Johnnie
Pearle
Faye
Leota
Lilla
Lona
Priscilla
Doris
Georgie
Cordelia
Kittie
Nola
Sudie
Artie
Floy
John
Opal
Rita
Vida
Angie
Lyda
Octavia
Vesta
June
Louella
Ila
Maybelle
Pansy
Rae
Alpha
Charity
Dona
Edythe
Ernestine
Evie
Isabell
Margret
Nan
Annette
Bell
Iola
James
Lina
Zula
Antonia
Jannie
Mazie
Tessie
Clare
Constance
Muriel
Adelia
Pattie
William
Zoe
Zora
Audrey
Ava
Ellie
Leonora
Leta
Magdalena
Eda
Florida
Geraldine
Leora
Melissa
Melvina
Tina
Bridget
Helene
Mellie
Pinkie
Tena
Vina
Willa
Adah
Berta
Dena
Dixie
Dorothea
Hanna
Lauretta
Lavina
Rosella
Angelina
Donna
Hilma
Joanna
Marietta
Missouri
Molly
Savannah
Wilma
Zelma
Aline
Aurelia
Cecil
George
Hortense
Jimmie
Winnifred
Bennie
Besse
Ethyl
Golda
Lucretia
Clyde
Eloise
Erna
Georgianna
Hedwig
Lucia
Agatha
Angela
Elisabeth
Elise
Emelia
Marcella
Reba
Una
Alva
Ettie
Mona
Shirley
Bella
Iona
Lenore
Louie
Ludie
Lenna
